HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,40480,1,1
1,12416,6,6
2,84672,24,24
3,12256,30,30
4,1408,36,36
5,51104,56,56
6,31232,62,62
7,3868384,76,76
8,7020512,81,81
