HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,59552,1,1
1,19424,6,6
2,195680,24,24
3,21536,30,30
4,1856,36,36
5,102784,56,56
6,57024,62,62
7,7533056,76,76
8,5816192,81,81
