HUD frame time nsec:,33600000

Range Index,Elapsed Time, First Event,Last Event
0,32800,1,1
1,15488,6,6
2,56064,24,24
3,458912,44,44
4,1024,64,64
5,800,84,84
6,77856,104,104
7,111808,124,124
8,176000,144,144
9,112192,164,164
10,164192,184,184
11,111776,204,204
12,162464,224,224
13,112192,244,244
14,172384,264,264
15,112032,284,284
16,864,304,304
17,928,324,324
18,928,344,344
19,960,364,364
20,15360,384,384
21,672,404,404
22,37312,424,424
23,13760,430,430
24,50816,436,436
25,37472,456,456
26,25120,476,476
27,85248,496,496
28,112064,516,516
29,116032,536,536
30,112128,556,556
31,144320,576,576
32,112160,596,596
33,151968,616,616
34,112096,636,636
35,162368,656,656
36,112224,676,676
37,172288,696,696
38,112064,716,716
39,1152,736,736
40,672,756,756
41,864,776,776
42,960,796,796
43,6176,816,816
44,672,836,836
45,4736,856,856
46,31264,862,862
47,4055104,876,876
48,19497632,881,881

Range Index,Elapsed Time, First Event,Last Event
0,55264,24,24
1,442752,44,44
2,672,64,64
3,17088,84,84
4,116064,104,104
5,112192,124,124
6,177664,144,144
7,112128,164,164
8,163296,184,184
9,112416,204,204
10,162496,224,224
11,112320,244,244
12,171392,264,264
13,112064,284,284
14,864,304,304
15,928,324,324
16,928,344,344
17,960,364,364
18,15328,384,384
19,672,404,404
20,37344,424,424
21,50624,436,436
22,37280,456,456
23,25248,476,476
24,85344,496,496
25,112032,516,516
26,116032,536,536
27,112128,556,556
28,144352,576,576
29,112000,596,596
30,152000,616,616
31,112096,636,636
32,162464,656,656
33,112096,676,676
34,172416,696,696
35,112352,716,716
36,672,736,736
37,768,756,756
38,928,776,776
39,960,796,796
40,6208,816,816
41,672,836,836
42,4608,856,856
43,4043968,876,876

