HUD frame time nsec:,33600000

Range Index,Elapsed Time, First Event,Last Event
0,32320,1,1
1,14592,6,6
2,18656,24,24
3,333472,44,44
4,617344,64,64
5,110624,84,84
6,123712,104,104
7,112160,124,124
8,112160,144,144
9,112160,164,164
10,112032,184,184
11,112320,204,204
12,111904,224,224
13,112192,244,244
14,112128,264,264
15,112032,284,284
16,30144,304,304
17,672,324,324
18,672,344,344
19,672,364,364
20,672,384,384
21,736,404,404
22,90208,424,424
23,13600,430,430
24,672,436,436
25,22528,456,456
26,65760,476,476
27,337312,496,496
28,111872,516,516
29,119424,536,536
30,111904,556,556
31,112128,576,576
32,112512,596,596
33,111712,616,616
34,112448,636,636
35,111712,656,656
36,112192,676,676
37,112128,696,696
38,112032,716,716
39,14016,736,736
40,672,756,756
41,704,776,776
42,672,796,796
43,672,816,816
44,672,836,836
45,13376,856,856
46,31360,862,862
47,4101664,876,876
48,19663776,881,881
