HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,59488,1,1
1,56704,20,20
2,434080,40,40
3,1238048,60,60
4,215648,80,80
5,1368960,100,100
6,215680,120,120
7,1316032,140,140
8,216256,160,160
9,371456,180,180
10,217504,200,200
11,222848,220,220
12,222688,240,240
13,222880,260,260
14,222752,280,280
15,55808,300,300
16,704,320,320
17,43808,340,340
18,672,360,360
19,51584,380,380
20,832,400,400
21,420416,420,420
22,768,428,428
23,832,448,448
24,91200,468,468
25,993248,488,488
26,219648,508,508
27,1075744,528,528
28,220352,548,548
29,1883680,568,568
30,220704,588,588
31,366720,608,608
32,221312,628,628
33,223136,648,648
34,223104,668,668
35,222976,688,688
36,223200,708,708
37,26656,728,728
38,672,748,748
39,21280,768,768
40,672,788,788
41,22400,808,808
42,672,828,828
43,122816,848,848
44,54688,854,854
45,7700160,868,868
46,1401088,873,873
