HUD frame time nsec:,33598000

Range Index,Elapsed Time, First Event,Last Event
0,32448,1,1
1,14656,6,6
2,17952,24,24
3,350880,44,44
4,472000,64,64
5,112000,84,84
6,268160,104,104
7,112128,124,124
8,276384,144,144
9,112288,164,164
10,298816,184,184
11,109472,204,204
12,303360,224,224
13,109632,244,244
14,301024,264,264
15,108448,284,284
16,41824,304,304
17,672,324,324
18,16544,344,344
19,672,364,364
20,2432,384,384
21,960,404,404
22,75072,424,424
23,13472,430,430
24,640,436,436
25,22144,456,456
26,71072,476,476
27,285216,496,496
28,111872,516,516
29,240320,536,536
30,108608,556,556
31,266528,576,576
32,112128,596,596
33,297216,616,616
34,111520,636,636
35,301440,656,656
36,111488,676,676
37,299072,696,696
38,110432,716,716
39,14112,736,736
40,672,756,756
41,5696,776,776
42,672,796,796
43,1440,816,816
44,864,836,836
45,18240,856,856
46,31392,862,862
47,4092544,876,876
48,20125376,881,881

Range Index,Elapsed Time, First Event,Last Event
0,32320,1,1
1,15488,6,6
2,58496,24,24
3,222880,44,44
4,521024,64,64
5,111872,84,84
6,337056,104,104
7,108608,124,124
8,304032,144,144
9,109472,164,164
10,301664,184,184
11,116032,204,204
12,293632,224,224
13,204928,244,244
14,285728,264,264
15,263424,284,284
16,53152,304,304
17,672,324,324
18,11040,344,344
19,672,364,364
20,672,384,384
21,704,404,404
22,176960,424,424
23,13760,430,430
24,1440,436,436
25,59712,456,456
26,45568,476,476
27,345600,496,496
28,112064,516,516
29,308256,536,536
30,110496,556,556
31,301568,576,576
32,111168,596,596
33,299488,616,616
34,118272,636,636
35,292096,656,656
36,202464,676,676
37,286240,696,696
38,266720,716,716
39,20416,736,736
40,1216,756,756
41,1632,776,776
42,768,796,796
43,960,816,816
44,768,836,836
45,35200,856,856
46,31296,862,862
47,4120448,876,876
48,19090976,881,881
